Artist,Word_Count
10cc,10736
10 Years (band),4396
3 Doors Down,7478
311 (band),8685
38 Special (band),4522
AC/DC,28136
Bryan Adams,38702
Aerosmith,30144
AFI (band),9522
Air Supply,7036
The Alan Parsons Project,3433
Alice in Chains,32535
The All-American Rejects,9140
The Allman Brothers Band,12601
Alter Bridge,12203
Ambrosia (band),4756
America (band),8194
The Animals,4496
Adam Ant,15051
Anthrax (American band),14497
April Wine,5817
Arcade Fire,16720
Arctic Monkeys,25777
Asia (band),9394
Audioslave,6442
Avenged Sevenfold,16312
Awolnation,9248
The B-52's,13
Bachman–Turner Overdrive,10345
Bad Company,5398
Badfinger,13519
The Band,12601
The Bangles,5424
Barenaked Ladies,12531
Bay City Rollers,12923
The Beach Boys,33865
Beastie Boys,20896
The Beatles,36143
Bee Gees,22816
Beck,18659
Ben Folds Five,3745
Pat Benatar,9217
Chuck Berry,12100
The Big Bopper,4858
Billy Talent,7734
The Black Crowes,5971
The Black Keys,17394
Black Sabbath,30131
Black Stone Cherry,3017
Black Veil Brides,14771
Blink-182,22185
Blondie (band),12020
Bloodhound Gang,4957
Blue October,6216
Blue Öyster Cult,10525
Blues Traveler,5002
James Blunt,11380
Blur (band),12909
Bon Jovi,14416
Boston (band),8217
David Bowie,40106
Bowling for Soup,10681
The Boxtones,2397
Boys Like Girls,9477
Bread (band),5796
Breaking Benjamin,9352
Bring Me the Horizon,31600
Jackson Browne,8201
Buckcherry,4650
Jeff Buckley,13282
Bullet for My Valentine,19635
Chris de Burgh,4122
Bush (British band),6979
The Byrds,28432
Cage the Elephant,9732
Cake (band),9113
Canned Heat,6598
The Cab,8096
The Cardigans,3806
The Cars,3940
Catfish and the Bottlemen,9419
Harry Chapin,6405
Tracy Chapman,7100
Cheap Trick,7014
Chevelle (band),15920
Chicago (band),37334
Chubby Checker,7027
Cinderella (band),3857
Dallas Green (musician),8
Eric Clapton,30205
The Clash,13923
Eddie Cochran,7178
Joe Cocker,7252
Coheed and Cambria,11233
Cold Chisel,8709
Coldplay,46542
Collective Soul,5558
Phil Collins,29113
Alice Cooper,27669
Alice Cooper (band),5999
Chris Cornell,34331
Elvis Costello,27836
Counting Crows,9200
The Cranberries,19653
Crash Test Dummies,5323
Cream (band),6424
Creed (band),12101
Creedence Clearwater Revival,9941
Jim Croce,4407
