,Name,Gender
281,Dr. Badger,F
282,Jane Baer,F
283,Bagheera,M
284,Nakia Bahadir,F
285,Bella Bailey,F
286,Grace Bailey,F
287,Halle Bailey,F
288,Laura Bailey,F
289,Lora Baines,F
290,Sharon Baird,F
291,Maria Bakalova,F
292,Baker Bridget,F
293,Deborah Baker Jr.,F
294,Baker's Wife,F
295,Leigh-Allyn Baker,F
296,Brigitte Bako,F
297,Marta Balatico,F
298,Princess Baldegunde,F
299,Ballerina,F
300,Ballerina Princess,F
301,The Balloon Lady,F
302,Bambi's mother,F
303,Maria Bamford,F
304,Marching Band,M
305,Bandits,M
306,Lady Bane,F
307,Elizabeth Banks,F
308,Hailey Banks,F
309,Jane Banks,F
310,Patricia Banks,F
311,Tyra Banks,F
312,Winifred Banks,F
313,Banshee,F
314,Banshee Barista,F
315,Christine Baranski,F
316,Barb,F
317,Candy Barbarian,F
318,Fang Barbarian,F
319,Barbie,F
320,Barbra,F
321,Libe Barer,F
322,Wynter Barkowitz,F
323,Barnacle Bessie,F
324,Becky Barnes,F
325,Chelsea Barnes,F
326,Joanna Barnes,F
327,Baroness Bonbon,F
328,Baroness Von Hellman,F
329,The Baroness' Dalmatians,M
330,Roseanne Barr,F
331,Teddi Barra,F
332,Shakira Barrera,F
333,Alexandra Barreto,F
334,Drew Barrymore,F
335,Liz Bartlett,F
336,Felicia Barton,F
337,Laura Barton,F
338,Bash and Bella,M
339,Angela Bassett,F
340,Bast,F
341,Bastet,F
342,Bat Queen,F
343,Kathy Bates,F
344,Battlesaurs,M
345,Alice Baxter,F
346,Raven Baxter,F
347,Tanya Baxter,F
348,Nia Baxter-Carter,F
349,Vanessa Bayer,F
350,Baylene,F
351,The Bayou Bobcats,M
352,The Bayou Community Band,M
353,Bazeema,F
354,BB Good,F
355,Bea,F
356,Bernice Beachmont,F
357,Babydoll Beagle,F
358,Boom-Boom Beagle,F
359,Bouffant Beagle,F
360,Granny Beagle,F
361,Ma Beagle,F
362,Beaker's girlfriend,F
363,Captain Beakman,F
364,Bearoness Bear,F
365,Emily Bear,F
366,Bears,M
367,Allyce Beasley,F
368,Beating-Heart Bride,F
369,Beatrice and Daphne,F
370,Stephanie Beatriz,F
371,Beau the Opossum,F
372,Kathryn Beaumont,F
373,Jenny Beavan,F
374,Mrs. Beaver,F
375,Becca,F
376,Becca Embarcadero,F
377,Beck,M
378,Wendy Beckett,F
379,Becky,F
380,Becky Little,F
381,Becky Thatcher,F
382,Irene Bedard,F
383,Samantha Bee,F
384,Beep and Priscilla,F
385,The Bees,M
386,Beeza,F
387,Befana,F
388,Patricia Belcher,F
389,Belinda,F
390,Jillian Bell,F
391,Kristen Bell,F
392,Lake Bell,F
393,Bella Bianchi,F
394,Bella the Ballerina,F
395,Belle,F
396,Belle French,F
397,Belle's mother,F
398,Belle's Sisters,F
399,Camilla Belle,F
400,Maria Bello,F
401,Sara Bellum,F
402,Bellwether,F
403,Yelena Belova,F
404,Laura Benanti,F
405,Connie Benge,F
406,Annette Bening,F
407,Carole Bennet,F
408,Chloe Bennet,F
409,Maya Bennett,F
410,Jodi Benson,F
411,Bentina Beakley,F
412,Julie Benz,F
413,Beret Girl,F
414,Candice Bergen,F
415,Kelli Berglund,F
416,Mary Kay Bergman,F
417,Bernadette the Bear,F
418,Bernadette the Chicken,F
419,Sandra Bernhard,F
420,Bernice,F
421,Halle Berry,F
422,Debbie Berwick,F
423,Beryl Chatterley,F
424,Bess,F
425,Bessie,F
426,Bessie the Cornish Cow,F
427,Honey Best,F
428,Betsy,F
429,Betty,F
430,Betty Brant,F
431,Betty Lou Beaver,F
432,The Bettys,M
433,Beverly Plume,F
434,Beyoncé,F
435,Bhati,F
436,Swayam Bhatia,F
437,Mayim Bialik,F
438,Bianca,F
439,Miss Bianca,F
440,Esmé Bianco,F
441,Jessica Biel,F
442,Bielle,F
443,Big Bertha,F
444,Big Fee,F
445,Big Mama,F
446,Bigelow McFigglehorn,F
447,Biker Storks,M
448,Depa Billaba,F
449,Billie,F
450,Billie Robinson,F
451,Billina,F
452,"Billy, Goat, and Gruff",F
453,The Bimbettes,F
454,Bimini,F
455,Binary,F
456,Binga,F
457,Binglebops,M
458,Ms. Birch,F
459,Bird,F
460,Bird in a Gilded Cage,F
461,Harley Bird,F
462,Laura Bird,F
463,Birds,M
464,Eleanor Bishop,F
465,Kate Bishop,F
466,Bitey White,F
467,Bitsy,F
468,Bix Caleen,F
469,Bizarrah,F
470,Blabby Abby,F
471,Black Beauty,F
472,Black Cat,F
473,Black Fairy,F
474,Black Heron,F
475,Black Mariah,F
476,Black Scorpions,M
477,Black Widow,F
478,Carmilla Black,F
479,Blair,F
480,Mary Blair,F
481,Trinket St. Blair,F
482,Jenny Blake,F
483,Meredith Blake,F
484,Tiffany Blake,F
485,Susanne Blakeslee,F
486,Rowan Blanchard,F
487,Cate Blanchett,F
488,Blanda,F
489,Dorothy Ann Blank,F
490,Petunia Blankenhooper,F
491,Blazey,F
492,Alexis Bledel,F
493,Cassandra Bleem,F
494,Brenda Blethyn,F
495,Amity Blight,F
496,Emira and Edric Blight,M
497,Odalia Blight,F
498,Blind Al,F
499,Blind Witch,F
500,Blinky,M
501,Lucille Bliss,F
502,Zorii Bliss,F
503,Blobzilla,F
504,Gloria Blondell,F
505,Blondy,F
506,Elsa Bloodstone,F
507,Rachel Bloom,F
508,Eleanor Bloomingbottom,F
509,Alice Blue Bonnet,F
510,Blue Fairy,F
511,Marcie Blue,F
512,Rocky Blue,F
513,Sarayu Blue,F
514,The Blueberries,F
515,Bluebird Family,M
516,Lady Bluebury,F
517,Beebe Bluff,F
518,Betty Bluff,F
519,Princess Alrgelbaccch Blunkenthorttthhhph,F
520,Emily Blunt,F
521,Mrs. Bluveridge,F
522,Bo Peep,F
523,Lola Boa,F
524,Thelma Boardman,F
525,Bobbi Baba,F
526,Boboka,F
527,Bobtail,F
528,Bobtail's Parents,M
529,Bog King's Early Girlfriends,F
530,"Bog, Fens, and Mire",M
531,Bogino,F
532,Madame Adelaide Bonfamille,F
533,Bonnie,F
534,Anne Bonny,F
535,Boo,M
536,Mrs. Booby,F
537,Boogeyman,M
538,BooGoo,F
539,Rita Book,F
540,Anne Boonchuy,F
541,Mrs. Boonchuy,F
542,Tiffany Boone,F
543,Mika Boorem,F
544,Bootsie,F
545,Samantha Boscarino,F
546,Boscha,F
547,Mrs. Bosco,F
548,Kate Bosworth,F
549,Boudicca,F
550,Ashley Boulet,F
551,LaCienega Boulevardez,F
552,Sunset Boulevardez,F
553,Bouncing Bumble Queen,F
554,Brittany Boviak,F
555,Mrs. Boviak,F
556,Lilan Bowden,F
557,Andrea Bowen,F
558,Julie Bowen,F
559,Bowling Ball,F
560,Braces Girl,F
561,Brachiosaurus,M
562,Braddock,F
563,Brenda Bradford,F
564,Celia Bradley,F
565,Brainteasers,M
566,Vanessa Branch,F
567,Ellen Brandt,F
568,Brawnhilda,F
569,Bree,F
570,Brenda,F
571,Eileen Brennan,F
572,Abigail Breslin,F
573,Paget Brewster,F
574,"Bria, Gavin, and Angmar",M
575,Brianca,F
576,Brianna Buttowski,F
577,Briar and Bramble,F
578,Brick,F
579,Danica Bricker,F
580,Bride,F
581,Bride of Frankenstein,F
582,Chloe Bridges,F
583,Bridget,F
584,Alison Brie,F
585,Amber Briggs,F
586,"Brigitte, Josette, and Collette",F
587,Fran Brill,F
588,Mrs. Brill,F
589,Ashlie Brillault,F
590,Chelsea Brimmer,F
591,Britina,F
592,The Brittanys,F
593,Jennette Brocolleti,F
594,Wendy Bronson,F
595,Bronte Bladdar,F
596,Brook Ripple,F
597,Brooke,F
598,Brooklyn,M
599,Megan Brookman,F
600,Amelia Brooks,F
601,Kimberly Brooks,F
602,Rachel Brosnahan,F
603,Ashley Brown,F
604,Elyon,F
605,Jenny Brown,F
606,Julie Brown,F
607,Kimberly J. Brown,F
608,Millie Bobby Brown,F
609,Yvette Nicole Brown,F
610,Eleanor Brown/Miriadel,F
611,Barbara Brownstein,F
612,Amy Bruckner,F
613,Candi Brunschwegger,F
614,Quinta Brunson,F
615,Sabrina Bryan,F
616,Bryn Breitbart,F
617,Bubbles,M
618,Bubbles the Elephant,F
619,Buckets,F
620,Flora Buckman,F
621,Phyllis Buckman,F
622,Bud and Sylvia Newman,M
623,Julianne Buescher,F
624,Buff Frog's Tadpoles,M
625,Bug,F
626,The Bug Master,F
627,Bugs,M
628,Bulda,F
629,Abigail Bullion,F
630,Sandra Bullock,F
631,Biana Bully,F
632,Laura Bell Bundy,F
633,Bunny Bonnet Trio,F
634,Bunny Children,M
635,Bunny Girls,F
636,Emma Bunton,F
637,Ashly Burch,F
638,Leslie Burke,F
639,Carol Burnett,F
640,Harriet Burns,F
641,Kristin Burr,F
642,Hedy Burress,F
643,Jackie Buscarino,F
644,Sophia Bush,F
645,Butterbear,F
646,Buttercups,F
647,Butterflies,F
648,Butterfly Fairy,F
